weather,temperature,humidity,pressure
Partly Cloudy,9.47222222222222,0.89,1015.13
Partly Cloudy,9.35555555555556,0.86,1015.63
Mostly Cloudy,9.37777777777778,0.89,1015.94
Partly Cloudy,8.28888888888889,0.83,1016.41
Mostly Cloudy,8.75555555555555,0.83,1016.51
Partly Cloudy,9.22222222222222,0.85,1016.66
Partly Cloudy,7.73333333333333,0.95,1016.72
Partly Cloudy,8.77222222222222,0.89,1016.84
Partly Cloudy,10.8222222222222,0.82,1017.37
Partly Cloudy,13.7722222222222,0.72,1017.22
Partly Cloudy,16.0166666666667,0.67,1017.42
Partly Cloudy,17.1444444444444,0.54,1017.74
Partly Cloudy,17.8,0.55,1017.59
Partly Cloudy,17.3333333333333,0.51,1017.48
Partly Cloudy,18.8777777777778,0.47,1017.17
Partly Cloudy,18.9111111111111,0.46,1016.47
Partly Cloudy,15.3888888888889,0.6,1016.15
Mostly Cloudy,15.55,0.63,1016.17
Mostly Cloudy,14.2555555555556,0.69,1015.82
Mostly Cloudy,13.1444444444444,0.7,1015.83
Mostly Cloudy,11.55,0.77,1015.85
Mostly Cloudy,11.1833333333333,0.76,1015.77
Partly Cloudy,10.1166666666667,0.79,1015.4
Mostly Cloudy,10.2,0.77,1015.51
Partly Cloudy,10.4222222222222,0.62,1014.4
Partly Cloudy,9.91111111111111,0.66,1014.2
Mostly Cloudy,11.1833333333333,0.8,1008.71
Partly Cloudy,7.15555555555556,0.79,1014.47
Partly Cloudy,6.11111111111111,0.82,1014.45
Partly Cloudy,6.78888888888889,0.83,1014.49
Mostly Cloudy,7.26111111111111,0.85,1014.52
Mostly Cloudy,7.8,0.83,1014.16
Mostly Cloudy,9.87222222222223,0.78,1014.24
Mostly Cloudy,12.2222222222222,0.72,1014.25
Mostly Cloudy,15.0944444444444,0.61,1013.96
Mostly Cloudy,17.3555555555556,0.52,1013.85
Mostly Cloudy,19.0055555555555,0.46,1013.04
Mostly Cloudy,20.0444444444444,0.4,1012.22
Mostly Cloudy,21.05,0.4,1011.44
Mostly Cloudy,21.1833333333333,0.37,1010.52
Mostly Cloudy,20.1166666666667,0.4,1009.83
Mostly Cloudy,20.2166666666667,0.36,1009.26
Mostly Cloudy,20,0.43,1008.76
Mostly Cloudy,17.8,0.5,1008.36
Mostly Cloudy,16.0611111111111,0.53,1008.11
Mostly Cloudy,15.0222222222222,0.55,1008.15
Overcast,14.4222222222222,0.58,1007.85
Overcast,14.2555555555556,0.59,1007.89
Overcast,13.7722222222222,0.6,1007.36
